Subject lang in English	Subject lang in subject lang	Description lang	Subject lang in description lang
friulian 	furlan	swedish	friuliska 
friulian 	furlan	icelandic	fríúlska 
friulian 	furlan	estonian	friuuli 
friulian 	furlan	telugu	ఫ్రియులియన్ 
friulian 	furlan	turkish	friulian 
friulian 	furlan	marathi	फ्रियुलियान 
friulian 	furlan	oriya	ଫ୍ରିୟୁଲୀୟାନ୍ 
friulian 	furlan	slovenian	furlanščina 
friulian 	furlan	gujarati	ફ્રિયુલિયાન 
friulian 	furlan	norwegian bokmål	friuliansk 
friulian 	furlan	hindi	फ्रीयुलीयान 
friulian 	furlan	dutch	friulisch 
friulian 	furlan	korean	프리우리안어 
friulian 	furlan	ukrainian	фріульська 
friulian 	furlan	russian	фриульский 
friulian 	furlan	danish	friulian 
friulian 	furlan	bulgarian	фриулиански 
friulian 	furlan	azeri	friul dili 
friulian 	furlan	hungarian	friuli 
friulian 	furlan	macedonian	фрулијански 
friulian 	furlan	lithuanian	frulan 
friulian 	furlan	french	frioulan 
friulian 	furlan	catalan	friülà 
friulian 	furlan	bengali	ফ্রিউলিয়ান 
friulian 	furlan	low german	friuulsch 
friulian 	furlan	maltese	frijuljan 
friulian 	furlan	thai	ฟรูลี 
friulian 	furlan	italian	friulano 
friulian 	furlan	tamil	ஃப்ரியூலியன் 
friulian 	furlan	finnish	friuli 
friulian 	furlan	indonesian	friuli 
friulian 	furlan	romansh	friulan 
friulian 	furlan	greek	φριούλιαν 
friulian 	furlan	latvian	friūlu 
friulian 	furlan	english	friulian 
friulian 	furlan	malayalam	ഫ്രിയുലിയാന്‍ 
friulian 	furlan	serbian	фриулијски 
friulian 	furlan	croatian	friulski 
friulian 	furlan	portuguese	friulano 
friulian 	furlan	chinese	弗留利文 
friulian 	furlan	german	friulisch 
friulian 	furlan	norwegian nynorsk	friuliansk 
friulian 	furlan	japanese	フリウリ語 
friulian 	furlan	kannada	ಫ್ರಿಯುಲಿಯನ್ 
friulian 	furlan	czech	furlandština 
friulian 	furlan	persian	فریولیایی 
friulian 	furlan	slovak	friulčina 
friulian 	furlan	friulian	furlan 
friulian 	furlan	spanish	friulano 
friulian 	furlan	polish	friulijski 
friulian 	furlan	arabic	الفريلايان 
friulian 	furlan	swiss german	friulisch 
vai 	vai	swedish	vaj 
vai 	vai	icelandic	vaí 
vai 	vai	estonian	vai 
vai 	vai	telugu	వాయి 
vai 	vai	turkish	vai 
vai 	vai	marathi	वाई 
vai 	vai	oriya	ଭାଇ 
vai 	vai	slovenian	vajščina 
vai 	vai	gujarati	વાઇ 
vai 	vai	norwegian bokmål	vai 
vai 	vai	hindi	वाई 
vai 	vai	dutch	vai 
vai 	vai	korean	바이어 
vai 	vai	ukrainian	ваї 
vai 	vai	russian	ваи 
vai 	vai	danish	vaj 
vai 	vai	bulgarian	ваи 
vai 	vai	azeri	vay dili 
vai 	vai	hungarian	vai 
vai 	vai	macedonian	ваи 
vai 	vai	lithuanian	vai 
vai 	vai	french	vaï 
vai 	vai	catalan	vai 
vai 	vai	bengali	ভাই 
vai 	vai	low german	vai 
vai 	vai	maltese	vai 
vai 	vai	thai	ไว 
vai 	vai	italian	vai 
vai 	vai	tamil	வை 
vai 	vai	finnish	vai 
vai 	vai	indonesian	vai 
vai 	vai	romansh	vai 
vai 	vai	greek	βάι 
vai 	vai	latvian	vaju 
vai 	vai	english	vai 
vai 	vai	malayalam	വൈ 
vai 	vai	serbian	вaи 
vai 	vai	croatian	vai 
vai 	vai	portuguese	vai 
vai 	vai	chinese	瓦伊文 
vai 	vai	german	vai 
vai 	vai	norwegian nynorsk	vai 
vai 	vai	japanese	ヴァイ語 
vai 	vai	kannada	ವಾಯಿ 
vai 	vai	czech	vai 
vai 	vai	persian	ویایی 
vai 	vai	spanish	vai 
vai 	vai	polish	wai 
vai 	vai	arabic	الفاي 
vai 	vai	swiss german	vai-schpraach 
norwegian nynorsk 	nynorsk	estonian	norra nynorsk 
norwegian nynorsk 	nynorsk	telugu	నార్విజియాన్ న్యోర్స్క్ 
norwegian nynorsk 	nynorsk	bulgarian	съвременен норвежки 
norwegian nynorsk 	nynorsk	azeri	norveç ninorsk dili 
norwegian nynorsk 	nynorsk	french	néo-norvégien 
norwegian nynorsk 	nynorsk	bengali	নরওয়েজীয়ান নিনর্স্ক 
norwegian nynorsk 	nynorsk	tamil	நார்வேஜியன் நியூநார்ஸ்க் 
norwegian nynorsk 	nynorsk	filipino	norwegian nynorsk 
norwegian nynorsk 	nynorsk	pushto	ناروېئي (نائنورسک) 
norwegian nynorsk 	nynorsk	albanian	norvegjisht (nynorsk) 
norwegian nynorsk 	nynorsk	serbian	норвешки њорск 
norwegian nynorsk 	nynorsk	malayalam	നോര്‍വീജിയന്‍ നൈനോര്‍ക്സ് 
norwegian nynorsk 	nynorsk	italian	norvegese nynorsk 
norwegian nynorsk 	nynorsk	galician	noruegués nynorsk 
norwegian nynorsk 	nynorsk	czech	norština (nynorsk) 
norwegian nynorsk 	nynorsk	slovak	nórsky nynorsk 
norwegian nynorsk 	nynorsk	urdu	نورویجینی (نینورسک) 
norwegian nynorsk 	nynorsk	polish	norweski nynorsk 
norwegian nynorsk 	nynorsk	kirghiz	норвегияча 
norwegian nynorsk 	nynorsk	xhosa	isi-norwegia (nynorsk) 
norwegian nynorsk 	nynorsk	swedish	nynorska 
norwegian nynorsk 	nynorsk	marathi	नॉर्वेजियन न्योर्स्क 
norwegian nynorsk 	nynorsk	slovenian	novonorveščina 
norwegian nynorsk 	nynorsk	colognian	neu-norrweejesch 
norwegian nynorsk 	nynorsk	faroese	nýnorskt 
norwegian nynorsk 	nynorsk	danish	nynorsk 
norwegian nynorsk 	nynorsk	indonesian	norwegian nynorsk 
norwegian nynorsk 	nynorsk	zulu	isinowejiyani (nynorsk) 
norwegian nynorsk 	nynorsk	norwegian nynorsk	nynorsk 
norwegian nynorsk 	nynorsk	georgian	ნორვეგიული ნინორსკი 
norwegian nynorsk 	nynorsk	tigrinya	ኖርዌይኛ (ናይ ኝኖርስክ) 
norwegian nynorsk 	nynorsk	thai	นอร์เวย์นีนอสก์ 
norwegian nynorsk 	nynorsk	afrikaans	noorweegse nynorsk 
norwegian nynorsk 	nynorsk	tonga	lea fakanouei nosiki 
norwegian nynorsk 	nynorsk	greek	νορβηγικά νινόρσκ 
norwegian nynorsk 	nynorsk	latvian	jaunnorvēģu 
norwegian nynorsk 	nynorsk	english	norwegian nynorsk 
norwegian nynorsk 	nynorsk	croatian	novonorveški 
norwegian nynorsk 	nynorsk	chinese	挪威尼诺斯克文 
norwegian nynorsk 	nynorsk	swiss german	norwegisch nynorsk 
norwegian nynorsk 	nynorsk	friulian	norvegjês nynorsk 
norwegian nynorsk 	nynorsk	arabic	النينورسك النرويجي 
norwegian nynorsk 	nynorsk	breton	norvegeg nynorsk 
norwegian nynorsk 	nynorsk	icelandic	nýnorska 
norwegian nynorsk 	nynorsk	turkish	norveççe nynorsk 
norwegian nynorsk 	nynorsk	oriya	ନରୱେଜିଆନ୍ ନିୟୋର୍ସ୍କ 
norwegian nynorsk 	nynorsk	gujarati	નૉર્વેજીયન નાયનૉર્સ્ક 
norwegian nynorsk 	nynorsk	norwegian bokmål	nynorsk 
norwegian nynorsk 	nynorsk	hindi	नॉर्वेजियन नाइनोर्स्क 
norwegian nynorsk 	nynorsk	korean	노르웨이어(니노르스크) 
norwegian nynorsk 	nynorsk	khmer	ន័រវេ 
norwegian nynorsk 	nynorsk	hungarian	norvég nynorsk 
norwegian nynorsk 	nynorsk	bosnian	norveški (novonorveški) 
norwegian nynorsk 	nynorsk	lithuanian	naujoji-norvegų 
norwegian nynorsk 	nynorsk	malay	nynorsk norway 
norwegian nynorsk 	nynorsk	catalan	noruec nynorsk 
norwegian nynorsk 	nynorsk	russian	норвежский нюнорск 
norwegian nynorsk 	nynorsk	lingala	linovezi-nynorsk 
norwegian nynorsk 	nynorsk	armenian	նորվեգերեն (նյունորսկ) 
norwegian nynorsk 	nynorsk	amharic	የኖርዌ አዲሱ ኖርዌጅያንኛ 
norwegian nynorsk 	nynorsk	romansh	norvegiais nynorsk 
norwegian nynorsk 	nynorsk	hausa	yaren kasar norway 
norwegian nynorsk 	nynorsk	irish	ioruais nynorsk 
norwegian nynorsk 	nynorsk	southern sotho	se-norway (nynorsk) 
norwegian nynorsk 	nynorsk	german	nynorsk 
norwegian nynorsk 	nynorsk	belarusian	нарвежская (нюнорск) 
norwegian nynorsk 	nynorsk	kannada	ನಾರ್ವೇಜಿಯನ್ ನೂನಾರ್ಸ್ಕ್ 
norwegian nynorsk 	nynorsk	macedonian	норвешки ниноршк 
norwegian nynorsk 	nynorsk	persian	نرس جدید نروژی 
norwegian nynorsk 	nynorsk	mongolian	норвеги (нынорск) 
norwegian nynorsk 	nynorsk	basque	norvegiera berria 
norwegian nynorsk 	nynorsk	vietnamese	tiếng na uy (nynorsk) 
norwegian nynorsk 	nynorsk	romanian	norvegiană nynorsk 
norwegian nynorsk 	nynorsk	somali	nowrwejiyan (naynoroski) 
norwegian nynorsk 	nynorsk	dutch	nieuwnoors 
norwegian nynorsk 	nynorsk	northern sami	ođđadárogiella 
norwegian nynorsk 	nynorsk	lao	ນອກແວ (ນີນອກ) 
norwegian nynorsk 	nynorsk	finnish	norjan nynorsk 
norwegian nynorsk 	nynorsk	ukrainian	норвезька нюнорськ 
norwegian nynorsk 	nynorsk	welsh	norwyeg (nynorsk) 
norwegian nynorsk 	nynorsk	low german	norweegsch nynorsk 
norwegian nynorsk 	nynorsk	maltese	ninorsk norveġiż 
norwegian nynorsk 	nynorsk	spanish	nynorsk noruego 
norwegian nynorsk 	nynorsk	oromo	afaan norwegian 
norwegian nynorsk 	nynorsk	portuguese	novo norueguês (nynorsk) 
norwegian nynorsk 	nynorsk	interlingua	norvegiano (nynorsk) 
norwegian nynorsk 	nynorsk	japanese	ノルウェー語 (ニーノシュク) 
norwegian nynorsk 	nynorsk	kinyarwanda	inyenoruveji (nyonorusiki) 
norwegian nynorsk 	nynorsk	hebrew	נורבגית חדשה 
norwegian nynorsk 	nynorsk	esperanto	novnorvega 
catalan 	catalą	estonian	katalaani 
catalan 	catalą	telugu	కెటలాన్ 
catalan 	catalą	bulgarian	каталонски 
catalan 	catalą	azeri	katalanca 
catalan 	catalą	yoruba	èdè catala 
catalan 	catalą	french	catalan 
catalan 	catalą	bengali	ক্যাটালান 
catalan 	catalą	tamil	காடலான் 
catalan 	catalą	nepali	क्याटालन 
catalan 	catalą	filipino	catalan 
catalan 	catalą	pushto	کټلاني 
catalan 	catalą	albanian	katalonisht 
catalan 	catalą	serbian	каталонски 
catalan 	catalą	malayalam	കറ്റാലന്‍ 
catalan 	catalą	italian	catalano 
catalan 	catalą	galician	catalán 
catalan 	catalą	czech	katalánština 
catalan 	catalą	slovak	katalánčina 
catalan 	catalą	urdu	کاٹالانين 
catalan 	catalą	polish	kataloński 
catalan 	catalą	occitan	catalan 
catalan 	catalą	kirghiz	каталанча 
catalan 	catalą	xhosa	isi-calatan 
catalan 	catalą	swedish	katalanska 
catalan 	catalą	marathi	कॅटलान 
catalan 	catalą	slovenian	katalonščina 
catalan 	catalą	colognian	kattalanesch 
catalan 	catalą	faroese	katalanskt 
catalan 	catalą	danish	catalansk 
catalan 	catalą	indonesian	katalan 
catalan 	catalą	zulu	isikhathalani 
catalan 	catalą	norwegian nynorsk	katalansk 
catalan 	catalą	georgian	კატალანური 
catalan 	catalą	tigrinya	ካታላን 
catalan 	catalą	tajik	каталанӣ 
catalan 	catalą	thai	คาตาลัน 
catalan 	catalą	afrikaans	katalaans 
catalan 	catalą	tonga	lea fakaketalani 
catalan 	catalą	tigre	ካታላንኛ 
catalan 	catalą	greek	καταλανικά 
catalan 	catalą	latvian	katalāņu 
catalan 	catalą	english	catalan 
catalan 	catalą	croatian	katalonski 
catalan 	catalą	chinese	加泰罗尼亚文 
catalan 	catalą	swiss german	katalaanisch 
catalan 	catalą	friulian	catalan 
catalan 	catalą	arabic	الكاتالوينية 
catalan 	catalą	breton	katalaneg 
catalan 	catalą	swahili	kikatalan 
catalan 	catalą	icelandic	katalónska 
catalan 	catalą	turkish	katalanca 
catalan 	catalą	oriya	କାଟାଲାନ୍ 
catalan 	catalą	gujarati	કતલાન 
catalan 	catalą	norwegian bokmål	katalansk 
catalan 	catalą	hindi	कैटलान 
catalan 	catalą	korean	카탈로니아어 
catalan 	catalą	khmer	ភាសាកាតាឡាន 
catalan 	catalą	hungarian	katalán 
catalan 	catalą	bosnian	katalonski 
catalan 	catalą	lithuanian	katalonų 
catalan 	catalą	malay	catalonia 
catalan 	catalą	catalan	catalą 
catalan 	catalą	russian	каталанский 
catalan 	catalą	lingala	katalani 
catalan 	catalą	kazakh	каталан 
catalan 	catalą	armenian	կատալոներեն 
catalan 	catalą	amharic	ካታላንኛ 
catalan 	catalą	romansh	catalan 
catalan 	catalą	hausa	kataloniyanci 
catalan 	catalą	irish	catalóinis 
catalan 	catalą	southern sotho	se-catalia 
catalan 	catalą	german	katalanisch 
catalan 	catalą	belarusian	каталонская 
catalan 	catalą	kannada	ಕೆಟಲಾನ್ 
catalan 	catalą	macedonian	каталонски 
catalan 	catalą	persian	کاتالان 
catalan 	catalą	mongolian	каталан 
catalan 	catalą	basque	katalana 
catalan 	catalą	vietnamese	tiếng ca-ta-lăng 
catalan 	catalą	romanian	catalană 
catalan 	catalą	somali	katalaan 
catalan 	catalą	konkani	कटलान 
catalan 	catalą	dutch	catalaans 
catalan 	catalą	northern sami	katalánagiella 
catalan 	catalą	lao	ກາຕາລັງ 
catalan 	catalą	finnish	katalaani 
catalan 	catalą	ukrainian	каталонська 
catalan 	catalą	welsh	catalaneg 
catalan 	catalą	low german	katalaansch 
catalan 	catalą	maltese	katalan 
catalan 	catalą	kurdish	كاتالۆنی 
catalan 	catalą	geez	ካታላንኛ 
catalan 	catalą	spanish	catalán 
catalan 	catalą	tswana	catalan 
catalan 	catalą	oromo	afaan katalaa 
catalan 	catalą	portuguese	catalão 
catalan 	catalą	interlingua	catalano 
catalan 	catalą	japanese	カタロニア語 
catalan 	catalą	kinyarwanda	igikatalani 
catalan 	catalą	blin	ካታላንኛ 
catalan 	catalą	hebrew	קטלאנית 
catalan 	catalą	esperanto	kataluna 
tigrinya 	ትግርኛ	estonian	tigrinja 
tigrinya 	ትግርኛ	telugu	తిగ్రిన్యా 
tigrinya 	ትግርኛ	bulgarian	тигриня 
tigrinya 	ትግርኛ	azeri	tiqrin dili 
tigrinya 	ትግርኛ	yoruba	èdè tigrinya 
tigrinya 	ትግርኛ	french	tigrigna 
tigrinya 	ትግርኛ	bengali	তিগরিনিয়া 
tigrinya 	ትግርኛ	tamil	டிக்ரின்யா 
tigrinya 	ትግርኛ	nepali	तिग्रीन्या 
tigrinya 	ትግርኛ	filipino	tigrinya 
tigrinya 	ትግርኛ	pushto	تيګريني 
tigrinya 	ትግርኛ	albanian	tigrinja 
tigrinya 	ትግርኛ	serbian	тигриња 
tigrinya 	ትግርኛ	malayalam	ടൈഗ്രിന്യ 
tigrinya 	ትግርኛ	italian	tigrinya 
tigrinya 	ትግርኛ	galician	tigriña 
tigrinya 	ትግርኛ	czech	tigrinijština 
tigrinya 	ትግርኛ	slovak	tigrejčina 
tigrinya 	ትግርኛ	urdu	تگرینی 
tigrinya 	ትግርኛ	polish	tigrinia 
tigrinya 	ትግርኛ	swiss german	tigrinja 
tigrinya 	ትግርኛ	xhosa	isi-tigrinya 
tigrinya 	ትግርኛ	swedish	tigrinja 
tigrinya 	ትግርኛ	marathi	टिग्रिन्या 
tigrinya 	ትግርኛ	slovenian	tigrajščina 
tigrinya 	ትግርኛ	colognian	tigrinianesch 
tigrinya 	ትግርኛ	faroese	tigrinya 
tigrinya 	ትግርኛ	danish	tigrinya 
tigrinya 	ትግርኛ	indonesian	tigrinya 
tigrinya 	ትግርኛ	zulu	isitigrinya 
tigrinya 	ትግርኛ	norwegian nynorsk	tigrinja 
tigrinya 	ትግርኛ	tigrinya	ትግርኛ 
tigrinya 	ትግርኛ	thai	ติกริญญา 
tigrinya 	ትግርኛ	afrikaans	tigrinya 
tigrinya 	ትግርኛ	tonga	lea fakatikilina 
tigrinya 	ትግርኛ	tigre	ትግርኛ 
tigrinya 	ትግርኛ	greek	τιγκρίνυα 
tigrinya 	ትግርኛ	latvian	tigrinja 
tigrinya 	ትግርኛ	english	tigrinya 
tigrinya 	ትግርኛ	croatian	tigrinya 
tigrinya 	ትግርኛ	chinese	提格里尼亚文 
tigrinya 	ትግርኛ	arabic	التيجرينيا 
tigrinya 	ትግርኛ	breton	tigrigna 
tigrinya 	ትግርኛ	swahili	kitigrinya 
tigrinya 	ትግርኛ	icelandic	tígrinja 
tigrinya 	ትግርኛ	turkish	tigrinya 
tigrinya 	ትግርኛ	oriya	ଟ୍ରିଗିନିଆ 
tigrinya 	ትግርኛ	gujarati	ટાઇગ્રિનિયા 
tigrinya 	ትግርኛ	norwegian bokmål	tigrinja 
tigrinya 	ትግርኛ	hindi	तिग्रीन्या 
tigrinya 	ትግርኛ	korean	티그리냐어 
tigrinya 	ትግርኛ	khmer	ទីរិនយា 
tigrinya 	ትግርኛ	hungarian	tigrinja 
tigrinya 	ትግርኛ	bosnian	tigrinya (eritrejski) 
tigrinya 	ትግርኛ	lithuanian	tigrajų 
tigrinya 	ትግርኛ	malay	tigrinya 
tigrinya 	ትግርኛ	catalan	tigrinya 
tigrinya 	ትግርኛ	russian	тигринья 
tigrinya 	ትግርኛ	lingala	tigirinya 
tigrinya 	ትግርኛ	kazakh	тигринья 
tigrinya 	ትግርኛ	armenian	էրիտրերեն 
tigrinya 	ትግርኛ	amharic	ትግርኛ 
tigrinya 	ትግርኛ	romansh	tigrinya 
tigrinya 	ትግርኛ	hausa	tigriyanci 
tigrinya 	ትግርኛ	irish	tigrinis 
tigrinya 	ትግርኛ	southern sotho	se-tigrinya 
tigrinya 	ትግርኛ	german	tigrinja 
tigrinya 	ትግርኛ	belarusian	тыгрынья 
tigrinya 	ትግርኛ	kannada	ಟೈಗ್ರಿನ್ಯಾ 
tigrinya 	ትግርኛ	macedonian	тигрејски 
tigrinya 	ትግርኛ	persian	تیگرینیایی 
tigrinya 	ትግርኛ	mongolian	тикрина 
tigrinya 	ትግርኛ	basque	tigrinya 
tigrinya 	ትግርኛ	vietnamese	tiếng tigrigya 
tigrinya 	ትግርኛ	romanian	tigrinya 
tigrinya 	ትግርኛ	somali	tigrinya 
tigrinya 	ትግርኛ	konkani	तिग्रिन्या 
tigrinya 	ትግርኛ	dutch	tigrinya 
tigrinya 	ትግርኛ	lao	ຕີກຣິນຢາ 
tigrinya 	ትግርኛ	finnish	tigrinja 
tigrinya 	ትግርኛ	ukrainian	тигріні 
tigrinya 	ትግርኛ	welsh	tigrinya 
tigrinya 	ትግርኛ	low german	tigrinja 
tigrinya 	ትግርኛ	maltese	tigrinja 
tigrinya 	ትግርኛ	kurdish	تیگرینیای 
tigrinya 	ትግርኛ	geez	ትግርኛ 
tigrinya 	ትግርኛ	spanish	tigriña 
tigrinya 	ትግርኛ	tswana	tigrinya 
tigrinya 	ትግርኛ	oromo	afaan tigiree 
tigrinya 	ትግርኛ	portuguese	tigrínia 
tigrinya 	ትግርኛ	interlingua	tigrinya 
tigrinya 	ትግርኛ	japanese	ティグリニア語 
tigrinya 	ትግርኛ	kinyarwanda	inyatigirinya 
tigrinya 	ትግርኛ	blin	ትግርኛ 
tigrinya 	ትግርኛ	hebrew	טיגרינאית 
tigrinya 	ትግርኛ	esperanto	tigraja 
palauan 	palauan	swedish	palauanska 
palauan 	palauan	icelandic	paláska 
palauan 	palauan	estonian	belau 
palauan 	palauan	telugu	పాలుఆన్ 
palauan 	palauan	turkish	palau dili 
palauan 	palauan	marathi	पालाउआन 
palauan 	palauan	oriya	ପାଲାଉଆନ୍ 
palauan 	palauan	slovenian	palavanščina 
palauan 	palauan	gujarati	પલાઉઆન 
palauan 	palauan	norwegian bokmål	palauisk 
palauan 	palauan	hindi	पलोउआन 
palauan 	palauan	dutch	palauaans 
palauan 	palauan	korean	파라우안어 
palauan 	palauan	ukrainian	палауанська 
palauan 	palauan	russian	палау 
palauan 	palauan	danish	palauansk 
palauan 	palauan	bulgarian	палауан 
palauan 	palauan	azeri	palayanca 
palauan 	palauan	hungarian	palaui 
palauan 	palauan	macedonian	палауански 
palauan 	palauan	lithuanian	palau 
palauan 	palauan	french	paluan 
palauan 	palauan	catalan	palauà 
palauan 	palauan	bengali	পালায়ুয়ান 
palauan 	palauan	low german	palausch 
palauan 	palauan	maltese	palawjan 
palauan 	palauan	thai	ปาเลา 
palauan 	palauan	italian	palau 
palauan 	palauan	tamil	பலௌவ்ன் 
palauan 	palauan	finnish	palau 
palauan 	palauan	indonesian	palaua 
palauan 	palauan	romansh	palau 
palauan 	palauan	greek	παλάουαν 
palauan 	palauan	latvian	palaviešu 
palauan 	palauan	english	palauan 
palauan 	palauan	malayalam	പലാവുന്‍ 
palauan 	palauan	serbian	пaлaуaнски 
palauan 	palauan	croatian	palauanski 
palauan 	palauan	portuguese	palauano 
palauan 	palauan	chinese	帕劳文 
palauan 	palauan	german	palau 
palauan 	palauan	norwegian nynorsk	palauisk 
palauan 	palauan	japanese	パラオ語 
palauan 	palauan	kannada	ಪಲುಆನ್ 
palauan 	palauan	czech	palauština 
palauan 	palauan	persian	پالائویی 
palauan 	palauan	spanish	palauano 
palauan 	palauan	polish	palau 
palauan 	palauan	arabic	البالوان 
palauan 	palauan	swiss german	palau 
nama 	khoekhoegowab	nama	khoekhoegowab 
nama 	khoekhoegowab	english	nama 
creole or pidgin 	creole or pidgin	swedish	kreol- eller pidginspråk 
creole or pidgin 	creole or pidgin	icelandic	kreól- eða pidginmál 
creole or pidgin 	creole or pidgin	estonian	kreool- või pidžinkeel 
creole or pidgin 	creole or pidgin	telugu	క్రియోల్ లేదా పిగ్డిన్ 
creole or pidgin 	creole or pidgin	turkish	creole ve pidgin dilleri 
creole or pidgin 	creole or pidgin	marathi	क्रेओल वा पिजिन 
creole or pidgin 	creole or pidgin	oriya	କ୍ରେଓଲ୍ କିମ୍ବା ପିଜିନ୍ 
creole or pidgin 	creole or pidgin	slovenian	kreolščina ali pidžinščina 
creole or pidgin 	creole or pidgin	gujarati	ક્રેઓલ અથવા પિજિન 
creole or pidgin 	creole or pidgin	norwegian bokmål	kreol- eller pidginspråk 
creole or pidgin 	creole or pidgin	hindi	क्रेओल या पिजिन 
creole or pidgin 	creole or pidgin	dutch	creools of pidgin 
creole or pidgin 	creole or pidgin	korean	크리올어 및 피진어 
creole or pidgin 	creole or pidgin	ukrainian	креольські та піджінізовані мови 
creole or pidgin 	creole or pidgin	russian	креольские и пиджины 
creole or pidgin 	creole or pidgin	danish	kreolsk eller pidginsprog 
creole or pidgin 	creole or pidgin	bulgarian	креолски или пиджини 
creole or pidgin 	creole or pidgin	azeri	kreol dili 
creole or pidgin 	creole or pidgin	hungarian	kreol és pidzsin 
creole or pidgin 	creole or pidgin	macedonian	креолски 
creole or pidgin 	creole or pidgin	lithuanian	kreolų ir pidžinų 
creole or pidgin 	creole or pidgin	french	langue créole ou pidgin 
creole or pidgin 	creole or pidgin	catalan	llengua criolla o pidgin 
creole or pidgin 	creole or pidgin	bengali	ক্রেওল অথবা পিজিন 
creole or pidgin 	creole or pidgin	low german	kreoolsche spraken 
creole or pidgin 	creole or pidgin	maltese	kreoli u piġini (oħra) 
creole or pidgin 	creole or pidgin	thai	ครีโอลหรือพิดจิ้น 
creole or pidgin 	creole or pidgin	italian	creolo o pidgin 
creole or pidgin 	creole or pidgin	tamil	கிரியோல் மற்றும் பிஜின் 
creole or pidgin 	creole or pidgin	finnish	kreoli- tai pidgin-kieli 
creole or pidgin 	creole or pidgin	hebrew	שפה קראולית או פידג׳אנית 
creole or pidgin 	creole or pidgin	indonesian	kreol dan pidgins lain 
creole or pidgin 	creole or pidgin	romansh	creolic u pidgin 
creole or pidgin 	creole or pidgin	greek	κρεόλ ή πίντγκιν 
creole or pidgin 	creole or pidgin	burmese	အနောက်အိန္ဒြိယ ကျွန်းစုသား သို့မဟုတ် ဗန်းစကား 
creole or pidgin 	creole or pidgin	latvian	kreoliete vai pidgin valodā 
creole or pidgin 	creole or pidgin	english	creole or pidgin 
creole or pidgin 	creole or pidgin	malayalam	മിശ്രഭാഷ 
creole or pidgin 	creole or pidgin	serbian	креолски или пиџин 
creole or pidgin 	creole or pidgin	croatian	kreolski ili pidgin 
creole or pidgin 	creole or pidgin	portuguese	crioulo ou pidgin 
creole or pidgin 	creole or pidgin	chinese	克里奥尔混合语系 
creole or pidgin 	creole or pidgin	german	kreolische oder pidgin-sprache 
creole or pidgin 	creole or pidgin	norwegian nynorsk	kreol- eller pidginspråk 
creole or pidgin 	creole or pidgin	japanese	その他の混成語・混合語 
creole or pidgin 	creole or pidgin	kannada	ಕ್ರಿಯೋಲ್ ಅಥವಾ ಪಿಡ್ಗಿನ್ 
creole or pidgin 	creole or pidgin	czech	kreolština a jiné pidginy 
creole or pidgin 	creole or pidgin	persian	کریول یا پیجین 
creole or pidgin 	creole or pidgin	spanish	lengua criolla o pidgin 
creole or pidgin 	creole or pidgin	polish	kreolski lub pidżin 
creole or pidgin 	creole or pidgin	arabic	الكرييولى و اللغات المبسطة الأخرى للتفاهم بين الشعوب - أخرى 
creole or pidgin 	creole or pidgin	swiss german	kreol oder pidgin 
niuean 	niuean	swedish	niueanska 
niuean 	niuean	icelandic	níveska 
niuean 	niuean	estonian	niue 
niuean 	niuean	telugu	నియూఇయాన్ 
niuean 	niuean	turkish	niuean 
niuean 	niuean	marathi	नियुआन 
niuean 	niuean	oriya	ନିୟୁଆନ୍ 
niuean 	niuean	slovenian	niuejščina 
niuean 	niuean	gujarati	નિયુઆન 
niuean 	niuean	norwegian bokmål	niueansk 
niuean 	niuean	hindi	नियुआन 
niuean 	niuean	dutch	niueaans 
niuean 	niuean	korean	니우에어 
niuean 	niuean	ukrainian	ніуе 
niuean 	niuean	russian	ниуэ 
niuean 	niuean	danish	niueansk 
niuean 	niuean	bulgarian	ниуеан 
niuean 	niuean	azeri	niyuan dili 
niuean 	niuean	hungarian	niui 
niuean 	niuean	macedonian	најуан 
niuean 	niuean	lithuanian	niuenų 
niuean 	niuean	french	niouéen 
niuean 	niuean	catalan	niueà 
niuean 	niuean	bengali	নিউয়ান 
niuean 	niuean	low german	niue 
niuean 	niuean	maltese	nijuwejan 
niuean 	niuean	thai	นีอู 
niuean 	niuean	italian	niue 
niuean 	niuean	tamil	நியூவான் 
niuean 	niuean	tonga	lea fakaniuē 
niuean 	niuean	finnish	niue 
niuean 	niuean	indonesian	niuea 
niuean 	niuean	romansh	niue 
niuean 	niuean	greek	νιούεαν 
niuean 	niuean	latvian	niuāņu 
niuean 	niuean	english	niuean 
niuean 	niuean	malayalam	ന്യുവാന്‍ 
niuean 	niuean	serbian	ниуеaн 
niuean 	niuean	croatian	niujski 
niuean 	niuean	portuguese	niueano 
niuean 	niuean	chinese	纽埃文 
niuean 	niuean	german	niue 
niuean 	niuean	norwegian nynorsk	niueansk 
niuean 	niuean	japanese	ニウーエイ語 
niuean 	niuean	kannada	ನಿಯುವನ್ 
niuean 	niuean	czech	niue 
niuean 	niuean	persian	نیویی 
niuean 	niuean	spanish	niueano 
niuean 	niuean	polish	niue 
niuean 	niuean	arabic	النيوي 
niuean 	niuean	swiss german	niue-schpraach 
fanti 	fanti	swedish	fanti (dialekt av akan) 
fanti 	fanti	icelandic	fantí 
fanti 	fanti	estonian	fanti 
fanti 	fanti	telugu	ఫాంటి 
fanti 	fanti	turkish	fanti 
fanti 	fanti	marathi	फन्टी 
